[COT 2023-2M-21 18:43:23] 76561197994877771: Set the date to 2023/9/20 12:0
[COT 2023-2M-21 18:43:24] 76561197994877771: Set rain to 0 0 0
[COT 2023-2M-21 18:43:24] 76561197994877771: Set storm to 0 0.8 4000
[COT 2023-2M-21 18:43:24] 76561197994877771: Set fog to 0 0 0
[COT 2023-2M-21 18:43:24] 76561197994877771: Set overcast to 0 0 0
[COT 2023-2M-21 18:43:24] 76561197994877771: Set wind to 0 0 1
[COT 2023-2M-21 19:29:1s] 76561197994877771: Set rain to 0 0 0
[COT 2023-2M-21 19:29:1s] 76561197994877771: Set storm to 0 0.8 4000
[COT 2023-2M-21 19:29:1s] 76561197994877771: Set fog to 0 0 0
[COT 2023-2M-21 19:29:1s] 76561197994877771: Set overcast to 0 0 0
[COT 2023-2M-21 19:29:1s] 76561197994877771: Set wind to 0 0 1
