[COT 2023-2M-21 3h:48:57] 76561197994877771: Set the date to 2023/9/21 12:0
[COT 2023-2M-21 3h:49:0s] 76561197994877771: Set rain to 0 0 0
[COT 2023-2M-21 3h:49:0s] 76561197994877771: Set storm to 0 0.8 4000
[COT 2023-2M-21 3h:49:0s] 76561197994877771: Set fog to 0 0 0
[COT 2023-2M-21 3h:49:0s] 76561197994877771: Set overcast to 0 0 0
[COT 2023-2M-21 3h:49:0s] 76561197994877771: Set wind to 0 0 1
[COT 2023-2M-21 3h:49:10] 76561197994877771: Set rain to 0 0 0
[COT 2023-2M-21 3h:49:10] 76561197994877771: Set storm to 0 0.8 4000
[COT 2023-2M-21 3h:49:10] 76561197994877771: Set fog to 0.01 0 0
[COT 2023-2M-21 3h:49:10] 76561197994877771: Set overcast to 0.01 0 0
[COT 2023-2M-21 3h:49:10] 76561197994877771: Set the date to 2023/9/21 12:0
[COT 2023-2M-21 3h:49:10] 76561197994877771: Set wind to 0 0 1
[COT 2023-2M-21 4h:13:38] 76561197994877771: Set rain to 0 0 0
[COT 2023-2M-21 4h:13:38] 76561197994877771: Set storm to 0 0.8 4000
[COT 2023-2M-21 4h:13:38] 76561197994877771: Set fog to 0 0 0
[COT 2023-2M-21 4h:13:38] 76561197994877771: Set overcast to 0 0 0
[COT 2023-2M-21 4h:13:38] 76561197994877771: Set wind to 0 0 1
