Creation Time: 2023_2_20-14-0-0
14-0-0 | [INFO] TraderPlusCore - Started !
14-0-0 | [INFO] TraderPlus file exist ! loading...
14-0-0 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusGeneralConfig.json
14-0-0 | [INFO] TraderPlus file exist ! loading...
14-0-0 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusVehiclesConfig.json
14-0-0 | [INFO] TraderPlus file exist ! loading...
14-0-0 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusPriceConfig.json
14-0-0 | [INFO] TraderPlus file exist ! loading...
14-0-0 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusIDsConfig.json
14-0-0 | [INFO] TraderPlus file exist ! loading...
14-0-0 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusInsuranceConfig.json
14-0-0 | [INFO] TraderPlus file exist ! loading...
14-0-0 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusPriceConfig.json
14-0-0 | [INFO] TraderPlusServer - Started
14-0-0 | [INFO] TraderPlusBankingCore - Started !
14-0-0 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusBankingConfig.json
14-0-0 | [INFO] TraderPlusBankingServer - Started
14-0-0 | [INFO] CarLockCore - Started !
14-0-0 | [INFO] CarLockServer - Started
14-0-4 | [INFO] SafeZoneCore - Started !
14-0-4 | [INFO] DEBUG MODE ENABLED
14-0-29 | [INFO] ID_count: 5
14-0-29 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\ID_0\Licences.json
14-0-29 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\ID_0\Vegetables.json
14-0-29 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\ID_0\Packaged Food.json
14-0-29 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\ID_0\Meat.json
14-0-29 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\ID_0\Animal Parts.json
